ID-label1;ID-label2;GS conf;conf
http://Hohenheim#sid-F5DF9B8C-3421-4AD8-8E35-862722F230D5;http://Wuerzburg#sid-8C628809-B4AD-4A0E-9BB9-E3AFAB22381C;0.75;1.0
http://Hohenheim#sid-0018F174-AA16-4850-98AB-1FB3C0AE4DA8;http://Wuerzburg#sid-8C069EC3-1A91-4327-9C7C-364898A9A6BF;0.875;1.0
http://Hohenheim#sid-EA76CC8B-DB97-46CB-A2A0-5F44667C8B2E;http://Wuerzburg#sid-B06626EF-C70E-4D70-B20F-BA3DAC313DD9;1.0;1.0
http://Hohenheim#sid-5F59D760-9062-4ECA-A984-61D03B97FDE6;http://Wuerzburg#sid-48539062-6B70-468F-BF19-F74EEE12F0EB;0.125;1.0
http://Hohenheim#sid-9487E693-D9A1-4049-A90C-371724878D5A;http://Wuerzburg#sid-EEC31819-F1F0-4A9F-8EE8-D442CF2E2622;0.875;1.0
http://Hohenheim#sid-3B362D2A-94FE-433F-B46F-E57F6F296CD2;http://Wuerzburg#sid-8C628809-B4AD-4A0E-9BB9-E3AFAB22381C;0.0;1.0
http://Hohenheim#sid-5F59D760-9062-4ECA-A984-61D03B97FDE6;http://Wuerzburg#sid-8C628809-B4AD-4A0E-9BB9-E3AFAB22381C;0.0;1.0
http://Hohenheim#sid-9487E693-D9A1-4049-A90C-371724878D5A;http://Wuerzburg#sid-C583433D-A7B4-47FE-9B68-EEB7E514DB1E;0.0;1.0
http://Hohenheim#sid-65B886A3-3075-4605-961B-5C2FB73ED1B3;http://Wuerzburg#sid-4905EF0C-869A-4E84-B972-D562472547A0;0.0;1.0
http://Hohenheim#sid-9763AC57-5734-4494-A201-418849E6371F;http://Wuerzburg#sid-4905EF0C-869A-4E84-B972-D562472547A0;0.0;1.0
http://Hohenheim#sid-9763AC57-5734-4494-A201-418849E6371F;http://Wuerzburg#sid-5545318C-6215-4794-ACBD-3A422064C54E;0.0;1.0
