ID-label1;ID-label2;GS conf;conf
http://Muenster#sid-91E6E18C-CEDF-403F-9E17-73231413E6D4;http://TU_Munich#sid-8C188CB2-5CD5-451F-B76D-B14C777E9556;0.75;0.47850000858306885
http://Muenster#sid-3680E18B-E26C-4B7E-8462-F4CAD48F4985;http://TU_Munich#sid-3B9A1679-D9C0-48D4-B6EB-EE354AB529F2;0.875;0.7009000182151794
http://Muenster#sid-4811BF85-FF42-4251-8F8A-7C9A07E6EC55;http://TU_Munich#sid-B9C01B9A-294C-4E27-A0A8-DB69025E4284;1.0;0.3815999925136566
http://Muenster#sid-13F8AF16-C3E3-42BC-95BB-98450FD7603D;http://TU_Munich#sid-A050A33E-6163-44B5-965A-614CBFDB17C2;0.75;0.595300018787384
http://Muenster#sid-13F8AF16-C3E3-42BC-95BB-98450FD7603D;http://TU_Munich#sid-3386F438-4F0F-4407-9E98-F7968B1BBA95;0.125;0.595300018787384
http://Muenster#sid-5DBF77E5-6F45-462A-9589-8B8A202D5C1A;http://TU_Munich#sid-5CAA1911-2EA6-4A98-87A7-9BD000B0A191;0.75;0.6007999777793884
http://Muenster#sid-5DBF77E5-6F45-462A-9589-8B8A202D5C1A;http://TU_Munich#sid-B46A6E9A-CBC8-4796-B15D-B3862F31937E;0.125;0.6007999777793884
http://Muenster#sid-5D36CFBD-36D5-4A2F-81E6-83F468923C4B;http://TU_Munich#sid-C35B2287-57A3-420B-A8B3-86E1FBC12BDA;0.0;0.5927000045776367
http://Muenster#sid-AA30AF0A-8581-4B06-B9CC-377FCB426BA2;http://TU_Munich#sid-86BEFE55-806A-4B19-9DF6-EB0B403B6890;0.0;0.448199987411499
http://Muenster#sid-222C84E3-5DAD-480E-B504-E79874210FEA;http://TU_Munich#sid-906427E0-F446-4C6B-851B-F3872CE2302E;0.0;1.0
http://Muenster#sid-222C84E3-5DAD-480E-B504-E79874210FEA;http://TU_Munich#sid-465F693F-A9A4-43B7-86FB-B6F16EAD8DE7;0.0;1.0
http://Muenster#sid-4DC6FB4E-153C-422A-8896-193087C5AD07;http://TU_Munich#sid-5C1658C7-9A1D-4AA5-8325-F692C03C4ED5;0.0;0.602400004863739
